SKU|Producto|Stock|PVP|Rubro
FV0-4|1/4 KG DESCAFEINADO COLOMBIA FKF LISTA VERDE|100|19965|01 LISTA VERDE FRIKAF
FV11-4|1/4 KG CAFÉ TOSTADO BOURBON LISTA VERDE|100|15730|01 LISTA VERDE FRIKAF
FV1-2|BLEND PREMIUM 1/2 KG *|100|26620|01 LISTA VERDE FRIKAF
FV12-1|1 KG COLOMBIA ORGANICO LISTA VERDE|100|65340|01 LISTA VERDE FRIKAF
FV12-2|1/2 KG COLOMBIA ORGANICO LISTA VERDE|100|33880|01 LISTA VERDE FRIKAF
FV1-4|BLEND PREMIUM 1/4 KG *|100|13310|01 LISTA VERDE FRIKAF
FV14-1|1 KG AMABILE SOROCABANA FKF LISTA VERDE|100|62920|01 LISTA VERDE FRIKAF
FV14-2|1/2 KG AMABILE SOROCABANA FKF LISTA VERDE|100|32670|01 LISTA VERDE FRIKAF
FV16-1|1 KG CARACOLILLO F. ROJOS LISTA VERDE|100|62920|01 LISTA VERDE FRIKAF
FV18-1|1 KG ESMERALDA LAVADO LISTA VERDE|100|67760|01 LISTA VERDE FRIKAF
FV18-2|1/2 KG ESMERALDA LAVADO LISTA VERDE|100|35090|01 LISTA VERDE FRIKAF
FV18-4|1/4 KG ESMERALDA LAVADO LISTA VERDE|100|17545|01 LISTA VERDE FRIKAF
M140B|MESA RECTANGULAR DE 1M40 X 0,75 MTS EN PLÁSTICO BLANCO MAXGARDEN|100|310728|MASCARDI SINCRO PRECIOS
M800|PACK DE DOS RUEDAS Y EJE PARA RECIPIENTE PARA RESIDUOS DE 80LTS, 120LTS Y 240 LTS.-|100|62436|MASCARDI SINCRO PRECIOS
M004BX2+M191B+M050B|JUEGO DE 3 SILLONES GRAN CALIFORNIA + MESA AUXILIAR MASCARDI  BLANCO|100|39203|General
M023B|SILLA ESTRELLA EN PLÁSTICO BLANCO EN PAQUETES DE 6 UNIDADES|100|105996|MASCARDI SINCRO PRECIOS
M028B|SILLA ELEGANTE EN PLÁSTICO COLOR BLANCO EN CAJA DE 4 UNIDADES|100|114708|MASCARDI SINCRO PRECIOS
M073AZ|FUENTON DE 10 LTS. EN BOLSAS DE 25 UNIDADES AZUL|100|17424|MASCARDI SINCRO PRECIOS
M075B|MESA CUADRADA EN PLÁSTICO BLANCO 75 X 75 CMTS. EN CAJA|100|196020|MASCARDI SINCRO PRECIOS
M175B|MESA CUADRADA 75 X 75 CMTS. REFORZADA EN PLÁSTICO BLANCO EN CAJA UNITARIA|100|209088|MASCARDI SINCRO PRECIOS
M175N|MESA CUADRADA 75 X 75 CMTS. REFORZADA EN PLÁSTICO NEGRA EN CAJA UNITARIA|100|162624|MASCARDI SINCRO PRECIOS
M405|CAJON COSECHERO MEDIANO SEMICERRADO 52,5 LARGO X 36 ANCHO X 26 ALTO PAQ.DE 10|100|55176|MASCARDI SINCRO PRECIOS
M775|TAPA PARA CAJON GIGANTE|100|63888|MASCARDI SINCRO PRECIOS
FV49-2|1/2 KG TORRADO BRASIL - COLOMBIA (EN GRANO O MOLIDO) LISTA VERDE|100|15730|01 LISTA VERDE FRIKAF
